Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# total reads	# left	# right	Mapped (%)	Properly paired (%)	Avg. coverage depth	Coverage >= 1x (%)	# N's per 100 kbp	Reference length	Reference GC (%)	NG50	NG90	auNG	LG50	LG90	Reference mapped (%)	Reference properly paired (%)	Reference avg. coverage depth	Reference coverage >= 1x (%)	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# structural variations	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	busco_complete	busco_single_copy	busco_multi_copy	busco_fragmented	busco_missing_busco	busco_avg_identity	busco_stop_codon
polypolish_BS06_240_394-4_NP15x_IL35x	661	660	347	120	4	0	4302609	4302401	3318113	1731616	128066	0	661	41986	4302609	49.20	8142	2966	9877.9	167	489	7947081	3629702	3628764	22.21	18.33	65	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.7	11.7	0	2.5	85.8	NA	21.3
polypolish_BS06_240_394-4_NP15x_IL40x	661	660	347	120	4	0	4302612	4302404	3318123	1731623	128066	0	661	41986	4302612	49.20	8142	2966	9877.9	167	489	8969008	4140748	4139645	21.87	18.4	71	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.7	11.7	0	2.5	85.8	NA	21.3
polypolish_BS06_240_394-4_NP15x_IL50x	661	660	347	120	4	0	4302609	4302401	3318115	1731623	128066	0	661	41986	4302609	49.20	8142	2966	9877.9	167	489	10997945	5155396	5153934	21.32	18.44	82	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.7	11.7	0	2.5	85.8	NA	21.3
polypolish_BS06_240_394-4_NP15x_IL60x	661	660	347	120	4	0	4302591	4302383	3318108	1731615	128066	0	661	41986	4302591	49.20	8142	2966	9877.9	167	489	13021839	6167607	6165617	20.88	18.41	93	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.7	11.7	0	2.5	85.8	NA	21.3
polypolish_BS06_240_394-4_NP20x_IL10x	1247	1244	713	277	21	0	9004817	9002866	7340167	4251961	636993	0	1247	41985	9004817	49.36	9520	3251	11365.1	303	896	3016887	1049783	1049625	43.97	25.06	32	99.98	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	26.4	0	5.3	68.3	NA	24.5
polypolish_BS06_240_394-4_NP20x_IL15x	1247	1244	713	277	21	0	9004813	9002862	7340159	4251952	636993	0	1247	41983	9004813	49.36	9520	3251	11365.1	303	896	4054458	1568671	1568308	42.0	27.71	37	99.98	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	26.4	0	5.3	68.3	NA	24.5
polypolish_BS06_240_394-4_NP20x_IL20x	1247	1244	713	277	21	0	9004810	9002859	7340163	4251960	636992	0	1247	41983	9004810	49.36	9520	3251	11365.1	303	896	5080830	2081994	2081357	40.74	29.19	42	99.98	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	26.4	0	5.3	68.3	NA	24.5
polypolish_BS06_240_394-4_NP20x_IL25x	1247	1244	713	277	21	0	9004844	9002893	7340197	4251996	636999	0	1247	41983	9004844	49.36	9520	3251	11365.2	303	896	6104901	2594142	2593280	39.83	30.1	47	99.98	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	26.4	0	5.3	68.3	NA	24.5
polypolish_BS06_240_394-4_NP20x_IL30x	1247	1244	713	277	21	0	9004869	9002918	7340227	4252023	636997	0	1247	41983	9004869	49.36	9520	3251	11365.3	303	896	7122393	3103030	3101884	39.16	30.73	52	99.98	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	26.4	0	5.3	68.3	NA	24.5
polypolish_BS06_240_394-4_NP20x_IL35x	1247	1244	713	277	21	0	9004873	9002922	7340225	4252025	637000	0	1247	41983	9004873	49.36	9520	3251	11365.3	303	896	8134085	3608978	3607628	38.62	31.16	57	99.98	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	26.4	0	5.3	68.3	NA	24.5
polypolish_BS06_240_394-4_NP20x_IL40x	1247	1244	713	277	21	0	9004898	9002947	7340250	4252047	637005	0	1247	41983	9004898	49.36	9520	3251	11365.4	303	896	9145228	4114697	4113052	38.16	31.47	62	99.98	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	26.4	0	5.3	68.3	NA	24.5
polypolish_BS06_240_394-4_NP20x_IL50x	1247	1244	713	277	21	0	9004935	9002984	7340279	4252085	637017	0	1247	41983	9004935	49.36	9520	3251	11365.5	303	896	11149966	5117425	5115062	37.45	31.88	71	99.98	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	26.4	0	5.3	68.3	NA	24.5
polypolish_BS06_240_394-4_NP20x_IL60x	1247	1244	713	277	21	0	9004943	9002992	7340285	4252095	637022	0	1247	41983	9004943	49.36	9520	3251	11365.5	303	896	13146005	6115788	6112738	36.89	32.1	80	99.98	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	26.4	0	5.3	68.3	NA	24.5
polypolish_BS06_240_394-4_NP25x_IL10x	1843	1840	1053	417	32	1	13745384	13743376	11212379	6663923	1026082	62845	1843	62845	13745384	49.47	9762	3508	12029.3	439	1325	3245421	1048827	1048496	63.2	32.89	33	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	0	6.3	50.7	NA	26.7
polypolish_BS06_240_394-4_NP25x_IL15x	1843	1840	1053	417	32	1	13745385	13743377	11212380	6663940	1026085	62845	1843	62845	13745385	49.47	9756	3508	12029.3	439	1325	4280647	1566532	1566017	60.39	37.13	38	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	0	6.3	50.7	NA	26.7
polypolish_BS06_240_394-4_NP25x_IL20x	1843	1840	1053	417	32	1	13745426	13743418	11212417	6663956	1026099	62845	1843	62845	13745426	49.47	9756	3508	12029.4	439	1325	5303563	2078186	2077279	58.61	39.64	43	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	0	6.3	50.7	NA	26.7
polypolish_BS06_240_394-4_NP25x_IL25x	1843	1840	1053	417	32	1	13745439	13743431	11212427	6663971	1026101	62845	1843	62845	13745439	49.47	9756	3508	12029.4	439	1325	6322896	2588001	2586797	57.36	41.29	48	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	0	6.3	50.7	NA	26.7
polypolish_BS06_240_394-4_NP25x_IL30x	1843	1840	1053	417	32	1	13745470	13743462	11212471	6664012	1026131	62845	1843	62845	13745470	49.47	9756	3508	12029.6	439	1325	7335409	3094450	3092861	56.41	42.44	52	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	0	6.3	50.7	NA	26.7
polypolish_BS06_240_394-4_NP25x_IL35x	1843	1840	1053	417	32	1	13745448	13743440	11212448	6663998	1026131	62845	1843	62845	13745448	49.47	9756	3508	12029.6	439	1325	8340685	3597240	3595347	55.68	43.29	57	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	0	6.3	50.7	NA	26.7
polypolish_BS06_240_394-4_NP25x_IL40x	1843	1840	1053	417	32	1	13745511	13743503	11212510	6664048	1026156	62845	1843	62845	13745511	49.47	9757	3508	12029.7	439	1325	9344643	4099399	4097146	55.08	43.93	62	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	0	6.3	50.7	NA	26.7
polypolish_BS06_240_394-4_NP25x_IL50x	1843	1840	1053	417	32	1	13745565	13743557	11212558	6664097	1026181	62845	1843	62845	13745565	49.47	9757	3508	12029.9	439	1325	11332739	5093894	5090747	54.14	44.83	71	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	0	6.3	50.7	NA	26.7
polypolish_BS06_240_394-4_NP25x_IL60x	1843	1840	1053	417	32	1	13745578	13743570	11212576	6664121	1026201	62845	1843	62845	13745578	49.47	9757	3508	12030.0	439	1325	13309701	6082738	6078865	53.43	45.4	79	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	0	6.3	50.7	NA	26.7
polypolish_BS06_240_394-4_NP30x_IL10x	2243	2238	1321	562	62	4	17832787	17829470	14856030	9399919	2027763	244727	2243	65816	17832787	49.53	10637	3710	13347.7	515	1593	3474649	1048527	1048274	80.19	38.31	36	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	56.6	0.1	8.2	35.1	NA	28.1
polypolish_BS06_240_394-4_NP30x_IL15x	2243	2238	1321	562	62	4	17832818	17829501	14856059	9399954	2027799	244725	2243	65816	17832818	49.53	10637	3710	13347.8	515	1593	4508508	1565561	1565099	76.61	44.02	41	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	56.6	0.1	8.2	35.1	NA	28.1
polypolish_BS06_240_394-4_NP30x_IL20x	2243	2238	1321	562	62	4	17832885	17829568	14856114	9399996	2027799	244725	2243	65816	17832885	49.53	10637	3710	13347.8	515	1593	5529462	2076274	2075340	74.31	47.51	46	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	56.6	0.1	8.2	35.1	NA	28.1
polypolish_BS06_240_394-4_NP30x_IL25x	2243	2238	1321	562	62	4	17832957	17829640	14856188	9400061	2027823	244724	2243	65816	17832957	49.53	10637	3710	13348.0	515	1593	6546337	2584876	2583613	72.69	49.89	50	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	56.6	0.1	8.2	35.1	NA	28.1
polypolish_BS06_240_394-4_NP30x_IL30x	2243	2238	1321	562	62	4	17833016	17829699	14856245	9400096	2027848	244723	2243	65816	17833016	49.53	10637	3710	13348.0	515	1593	7555172	3089472	3087852	71.46	51.57	55	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	56.6	0.1	8.2	35.1	NA	28.1
polypolish_BS06_240_394-4_NP30x_IL35x	2243	2238	1321	562	62	4	17833044	17829727	14856274	9400133	2027851	244723	2243	65816	17833044	49.53	10637	3710	13348.1	515	1593	8556801	3590428	3588525	70.51	52.85	59	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	56.6	0.1	8.2	35.1	NA	28.1
polypolish_BS06_240_394-4_NP30x_IL40x	2243	2238	1321	562	62	4	17833097	17829780	14856327	9400186	2027859	244723	2243	65816	17833097	49.53	10637	3710	13348.2	515	1593	9555937	4090215	4087874	69.74	53.84	64	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	56.6	0.1	8.2	35.1	NA	28.1
polypolish_BS06_240_394-4_NP30x_IL50x	2243	2238	1321	562	62	4	17833200	17829883	14856440	9400291	2027924	244723	2243	65816	17833200	49.53	10637	3710	13348.4	515	1593	11533107	5079253	5076006	68.57	55.25	72	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	56.6	0.1	8.2	35.1	NA	28.1
polypolish_BS06_240_394-4_NP30x_IL60x	2243	2238	1321	562	62	4	17833271	17829954	14856511	9400362	2027974	244723	2243	65816	17833271	49.53	10637	3710	13348.6	515	1593	13495949	6061160	6056941	67.71	56.22	81	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.7	56.6	0.1	8.2	35.1	NA	28.1
polypolish_BS06_240_394-4_NP35x_IL10x	2495	2494	1462	703	82	6	20777703	20776971	17398053	11927355	2756153	377360	2495	71000	20777703	49.72	11638	3880	14328.2	561	1755	3703277	1048250	1047838	92.86	41.0	40	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	63.9	0.4	7.5	28.2	NA	29.8
polypolish_BS06_240_394-4_NP35x_IL15x	2495	2494	1462	703	82	6	20777757	20777025	17398096	11927397	2756169	377361	2495	71000	20777757	49.72	11638	3880	14328.3	561	1755	4736442	1565016	1564237	88.66	47.81	45	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	63.9	0.4	7.5	28.2	NA	30
polypolish_BS06_240_394-4_NP35x_IL20x	2495	2494	1462	703	82	6	20777763	20777031	17398106	11927427	2756172	377355	2495	71000	20777763	49.72	11638	3880	14328.3	561	1755	5756209	2075133	2073887	85.94	52.11	49	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	63.9	0.4	7.5	28.2	NA	30
polypolish_BS06_240_394-4_NP35x_IL25x	2495	2494	1462	703	82	6	20777828	20777096	17398180	11927493	2756181	377354	2495	71000	20777828	49.72	11638	3880	14328.4	561	1755	6771355	2582958	2581208	84.03	55.09	54	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	63.9	0.4	7.5	28.2	NA	30.2
polypolish_BS06_240_394-4_NP35x_IL30x	2495	2494	1462	703	82	6	20777963	20777231	17398314	11927607	2756207	377354	2495	71000	20777963	49.72	11638	3880	14328.5	561	1755	7778503	3086758	3084556	82.58	57.25	58	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	63.9	0.4	7.5	28.2	NA	30
polypolish_BS06_240_394-4_NP35x_IL35x	2495	2494	1462	703	82	6	20778005	20777273	17398357	11927646	2756215	377354	2495	71000	20778005	49.72	11638	3880	14328.5	561	1755	8777298	3586339	3583770	81.45	58.89	62	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	63.9	0.4	7.5	28.2	NA	30.2
polypolish_BS06_240_394-4_NP35x_IL40x	2495	2494	1462	703	82	6	20778113	20777381	17398468	11927738	2756237	377354	2495	71000	20778113	49.72	11638	3880	14328.7	561	1755	9773721	4084782	4081750	80.53	60.18	67	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	63.9	0.4	7.5	28.2	NA	30.2
polypolish_BS06_240_394-4_NP35x_IL50x	2495	2494	1462	703	82	6	20778190	20777458	17398554	11927837	2756293	377354	2495	71000	20778190	49.72	11638	3880	14328.9	561	1755	11744060	5070430	5066441	79.16	62.07	75	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	63.9	0.4	7.5	28.2	NA	30
polypolish_BS06_240_394-4_NP35x_IL60x	2495	2494	1462	703	82	6	20778271	20777539	17398623	11927889	2756335	377354	2495	71000	20778271	49.72	11638	3880	14329.0	561	1755	13698787	6048284	6043314	78.16	63.39	84	100.0	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.2	63.9	0.4	7.5	28.2	NA	30
polypolish_BS06_240_394-4_NP40x_IL10x	2604	2597	1523	754	104	10	22666718	22662218	19145713	13639289	3687008	645924	2604	87639	22666718	49.47	12640	3992	15873.0	550	1802	3932564	1048036	1047631	101.2	41.37	43	99.67	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5	69	0.5	8	22.4	NA	28.8
polypolish_BS06_240_394-4_NP40x_IL15x	2604	2597	1523	754	104	10	22666741	22662241	19145748	13639316	3687037	645926	2604	87639	22666741	49.47	12640	3992	15873.1	550	1802	4965413	1564624	1563892	96.59	48.88	48	99.67	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5	69	0.5	8	22.4	NA	29
polypolish_BS06_240_394-4_NP40x_IL20x	2604	2597	1523	754	104	10	22666747	22662247	19145772	13639349	3687022	645922	2604	87639	22666747	49.47	12641	3992	15873.1	550	1802	5984412	2074372	2073143	93.54	53.73	52	99.67	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5	69	0.5	8.2	22.3	NA	29
polypolish_BS06_240_394-4_NP40x_IL25x	2604	2597	1523	754	104	10	22666868	22662368	19145900	13639464	3687062	645922	2604	87639	22666868	49.47	12641	3992	15873.2	550	1802	6998520	2581677	2579946	91.38	57.16	57	99.67	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5	69	0.5	8.2	22.3	NA	29
polypolish_BS06_240_394-4_NP40x_IL30x	2604	2597	1523	754	104	10	22666992	22662492	19146022	13639544	3687070	645922	2604	87639	22666992	49.47	12641	3992	15873.3	550	1802	8004279	3084784	3082598	89.75	59.67	61	99.67	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5	69	0.5	8.2	22.3	NA	29
polypolish_BS06_240_394-4_NP40x_IL35x	2604	2597	1523	754	104	10	22667064	22662564	19146098	13639603	3687091	645923	2604	87639	22667064	49.47	12641	3992	15873.3	550	1802	9001875	3583797	3581181	88.48	61.61	66	99.68	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5	69	0.5	8.2	22.3	NA	29
polypolish_BS06_240_394-4_NP40x_IL40x	2604	2597	1523	754	104	10	22667114	22662614	19146163	13639664	3687112	645923	2604	87639	22667114	49.47	12641	3992	15873.4	550	1802	9996618	4081359	4078362	87.43	63.14	70	99.67	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5	69	0.5	8.2	22.3	NA	29
polypolish_BS06_240_394-4_NP40x_IL50x	2604	2597	1523	754	104	10	22667183	22662683	19146243	13639732	3687167	645923	2604	87639	22667183	49.47	12641	3992	15873.5	550	1802	11963387	5065242	5061248	85.86	65.4	78	99.68	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5	69	0.5	8.2	22.3	NA	29
polypolish_BS06_240_394-4_NP40x_IL60x	2604	2597	1523	754	104	10	22667278	22662778	19146345	13639817	3687233	645921	2604	87639	22667278	49.47	12641	3992	15873.7	550	1802	13913031	6040615	6035519	84.73	67.0	87	99.68	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.5	69	0.5	8	22.4	NA	29
polypolish_BS06_240_394-4_NP50x_IL10x	2561	2529	1521	878	192	16	25482838	25460425	22230134	17667014	6741156	992131	2561	83894	25482838	49.58	16072	4396	19151.1	492	1671	4392398	1048511	1048046	116.75	41.14	52	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.7	81	0.7	5.7	12.7	NA	28.4
polypolish_BS06_240_394-4_NP50x_IL15x	2561	2529	1521	878	192	16	25482870	25460458	22230180	17667053	6741165	992130	2561	83895	25482870	49.58	16072	4396	19151.2	492	1671	5425923	1565513	1564569	111.28	49.73	56	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.7	81	0.7	5.7	12.7	NA	28.4
polypolish_BS06_240_394-4_NP50x_IL20x	2561	2529	1521	878	192	16	25482976	25460564	22230300	17667145	6741184	992122	2561	83895	25482976	49.58	16072	4396	19151.2	492	1671	6445570	2075550	2074179	107.57	55.49	61	99.99	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.7	81	0.7	5.7	12.7	NA	28.4
